Date,Survey,Site,Treatment,Sex,TL,ID,Resscore,Resscore_extra,Proportionalrugosity,Absoluterugosity,Coralcover,HAS
2013-06-01,2,F5,removal,f,26,98,2,,0.356,1.7,7.266666667,0.392
2013-06-01,2,F5,removal,m,23,99,2,,0.356,1.7,7.266666667,0.392
2013-06-16,3,F5,removal,m,32,24,4,,0.356,1.7,7.266666667,0.392
2013-06-16,3,F5,removal,f,28,29,4,,0.356,1.7,7.266666667,0.392
2013-06-16,3,F5,removal,f,38,100,2,,0.356,1.7,7.266666667,0.392
2013-06-29,4,F5,removal,f,30,101,1,+,0.356,1.7,7.266666667,0.392
2013-06-29,4,F5,removal,m,23,102,1,+,0.356,1.7,7.266666667,0.392
2013-06-29,4,F5,removal,m,25,103,1,+,0.356,1.7,7.266666667,0.392
2013-06-29,4,F5,removal,m,23,104,1,+,0.356,1.7,7.266666667,0.392
2013-05-18,1,New2,removal,f,30,26,7,+,0.409,1.77,8.958333333,0.49
2013-05-18,1,New2,removal,f,32,28,7,+,0.409,1.77,8.958333333,0.49
2013-06-01,2,New2,removal,f,27,27,4,,0.409,1.77,8.958333333,0.49
2013-06-16,3,New2,removal,f,35,27,4,,0.409,1.77,8.958333333,0.49
2013-06-16,3,New2,removal,NA,NA,NA,0,,0.409,1.77,8.958333333,0.49
2013-06-16,3,New2,removal,f,40,105,2,,0.409,1.77,8.958333333,0.49
2013-06-16,3,New2,removal,m,25,106,2,,0.409,1.77,8.958333333,0.49
2013-06-29,4,New2,removal,f,35,26,7,+,0.409,1.77,8.958333333,0.49
2013-06-29,4,New2,removal,f,30,28,7,+,0.409,1.77,8.958333333,0.49
2013-06-29,4,New2,removal,NA,25,107,1,+,0.409,1.77,8.958333333,0.49
2013-06-29,4,New2,removal,f,40,108,1,+,0.409,1.77,8.958333333,0.49
2013-06-29,4,New2,removal,m,30,109,1,+,0.409,1.77,8.958333333,0.49
